Date,Cases,Deaths,Recovered,Travel_history,Province,City
2/26/2020,1,0,0,China,Islamabad Capital Territory,Islamabad
2/26/2020,2,0,0,Iran/Taftan,Sindh,Karachi
2/29/2020,1,0,0,China,Islamabad Capital Territory,Islamabad
2/29/2020,1,0,0,Iran/Taftan,Sindh,Karachi
3/2/2020,1,0,0,Iran/Taftan,Gilgit-Baltistan,Gilgit
3/6/2020,0,0,1,Unknown,Sindh,Karachi
3/7/2020,1,0,0,Iran/Taftan,Sindh,Karachi
3/9/2020,6,0,0,Syria,Sindh,Karachi
3/9/2020,3,0,0,UK,Sindh,Karachi
3/10/2020,1,0,0,Iran/Taftan,Baluchistan,Quetta
3/10/2020,1,0,0,Iran/Taftan,Sindh,Karachi
3/10/2020,1,0,0,Syria,Sindh,Hyderabad
3/11/2020,1,0,0,Iran/Taftan,Gilgit-Baltistan,Skardu
3/11/2020,0,0,1,Iran/Taftan,Sindh,Karachi
3/12/2020,1,0,0,Local - Social Contact,Gilgit-Baltistan,Gilgit
3/13/2020,7,0,0,Iran/Taftan,Baluchistan,Taftan
3/13/2020,1,0,0,USA,Islamabad Capital Territory,Islamabad
3/13/2020,1,0,1,Local - Social Contact,Sindh,Karachi
3/15/2020,1,0,0,UK,Punjab,Lahore
3/15/2020,13,0,0,Iran/Taftan,Sindh,Sukkur
3/15/2020,4,0,0,Iran/Taftan,Sindh,Karachi
3/15/2020,15,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Dera Ismail Khan
3/15/2020,1,1,0,Unknown,Khyber Pakhtunkhwa,Mardan
3/16/2020,1,0,1,Unknown,Islamabad Capital Territory,Islamabad
3/16/2020,1,0,0,Unknown,khyber Pakhtunkhwa,Mansehra
3/16/2020,1,0,0,Unknown,Khyber Pakhtunkhwa,Mardan
3/16/2020,1,0,0,Unknown,Punjab,Lahore
3/16/2020,119,0,0,Iran/Taftan,Sindh,Sukkur
3/16/2020,26,0,0,Iran/Taftan,Sindh,Karachi
3/16/2020,2,0,0,Iran/Taftan,Sindh,Hyderabad
3/17/2020,2,0,0,Iran/Taftan,Baluchistan,Quetta
3/17/2020,1,0,0,Unknown,Islamabad Capital Territory,Islamabad
3/17/2020,1,0,0,Unknown,khyber Pakhtunkhwa,Peshawar
3/17/2020,1,0,0,UK,Khyber Pakhtunkhwa,Charsadda
3/17/2020,15,0,0,Iran/Taftan,Punjab,Dera Ghazi Khan
3/17/2020,3,0,0,Unknown,Punjab,Lahore
3/17/2020,24,0,0,Iran/Taftan,Sindh,Sukkur
3/17/2020,5,0,0,KSA,Sindh,Karachi
3/18/2020,1,0,0,Iran/Taftan,Azad Jummu Kashmir,Mirpur
3/18/2020,10,0,0,Unknown,Gilgit-Baltistan,Gilgit
3/18/2020,2,0,0,Unknown,Islamabad Capital Territory,Islamabad
3/18/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Buner
3/18/2020,1,1,0,KSA,Khyber Pakhtunkhwa,Mardan 
3/18/2020,1,1,0,Unknown,Khyber Pakhtunkhwa,Hangu 
3/18/2020,5,0,0,Iran/Taftan,Punjab,Dera Ghazi Khan
3/18/2020,31,0,0,Iran/Taftan,Sindh,Sukkur
3/18/2020,5,0,0,Local - Social Contact,Sindh,Karachi
3/19/2020,53,0,0,Iran/Taftan,Baluchistan,Quetta
3/19/2020,4,0,0,Unknown,Gilgit-Baltistan,Gilgit
3/19/2020,4,0,0,Unknown,Gilgit-Baltistan,Nagar
3/19/2020,2,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Mardan
3/19/2020,1,0,0,Local - Covid Relative,Khyber Pakhtunkhwa,Dera Ismail Khan
3/19/2020,1,0,0,Local - Social Contact,Punjab,Multan
3/19/2020,8,0,0,Unknown,Punjab,Lahore
3/19/2020,44,0,0,Iran/Taftan,Punjab,Dera Ghazi Khan
3/19/2020,37,0,1,Local - Social Contact,Sindh,Karachi
3/20/2020,5,0,0,Unknown,Baluchistan,Quetta
3/20/2020,1,0,0,Unknown,Federal Administration Tribal Area,Khyber
3/20/2020,1,0,0,Local - Social Contact,Gilgit-Baltistan,Nagar
3/20/2020,8,0,0,Iran/Taftan,Gilgit-Baltistan,Gilgit
3/20/2020,1,0,0,Unknown,Khyber Pakhtunkhwa,Mansehra
